artist,album
Immortal Technique,The 3rd World
UGK,UGK (Underground Kingz)
Ras Kass,Soul On Ice
Don L,2008 - 2012
Don L,"Roteiro pra Aïnouz, Vol.2"
El-P,I'll Sleep When You're Dead
Prodigy,Return Of The Mac
Devin the Dude,Waitin' To Inhale
Trae tha Truth,Restless
Apathy,Eastern Philosophy
The Coup,Pick A Bigger Weapon
DJ Muggs & GZA,Grandmasters
Sean Price,Monkey Barz
Black Alien,Abaixo de Zero: Hello Hell
"Royce da 5'9""",Death Is Certain
Jaylib,Champion Sound
Dizzee Rascal,Boy in da Corner
"Danger Mouse, Jemini The Gift",Ghetto Pop Life
Nas,God's Son
Joni Mitchell,Clouds
Nego Gallo,Veterano
The Notorious B.I.G.,Ready to Die
Devin the Dude,Just Tryin Ta Live
A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm
Nas,Illmatic
KRS-One,Return Of The Boom Bap
JAY-Z,Dead Presidents (CD Maxi-Single)
Eminem,The Eminem Show
Admiral Bailey,Jamaica 40 Graus
Afrika Bambaataa,Looking For The Perfect Beat 1980-1985
Aj Suede,Metatron's Cube
Allah Preme, Guns Oil N' Drugs 2
Althea & Donna,Jamaica 40 Graus
Amber Mark,Three Dimensions Deep
Anaïs Mitchell,Anaïs Mitchell
Anna von Hausswolff,Live at Montreux Jazz Festival
Arlo Parks,Collapsed In Sunbeams
Arooj Aftab,Vulture Prince
Aurora,The Gods We Can Touch
Beach House,Once Twice Melody
Bebé,Bebé
Benjamin Epps,VOUS ÊTES PAS CONTENTS? TRIPLÉ!
Big Daddy Kane,It's a Big Daddy Thing
Big Daddy Kane,Long Live the Kane
Big Pun,Capital Punishment
Big Youth,Jamaica 40 Graus`
Black Thought,Stream of Thought Vol.1
Black Thought,Stream of Thought Vol.2
Bob Marley & The Wailers,Jamaica 40 Graus
Bobby Glenn,Shout It Out!
Bonifrate,Corisco
Boogie Down Productions,By All Means Necessary
Boogie Down Productions,Criminal Minded
Boogie Down Productions,Ghetto Music: The Blueprint of Hip Hop
Boris,W
Brand Nubian,One For All
Brother Ali,Shadows On The Sun
Burial,Antidawn EP
Burning Spear,Jamaica 40 Graus
Busta Rhymes,When Disaster Strikes…
Câmera,Invisible House
Cemeteries,Barrow
Chaka Demus & Pliers,Jamaica 40 Graus
Charles Mingus,Ah Um
Che Noir,Food For Thought
Christelle Bofale,Miles
Cordae,From a Birds Eye View
Cormega,The Realness
Culture,Jamaica 40 Graus
Curtis Mayfield,Curtis
D12,Curtain Call: The Hits
David Ruffin,David Ruffin
Dawn Penn,Jamaica 40 Graus
Delroy Wilson,Jamaica 40 Graus
Dillinger,Jamaica 40 Graus
DJ Muggs,Gold
Earl Sweatshirt,SICK!
Elujay,Circmvnt
Eminem,Curtain Call: The Hits
Fabriccio,Selva
FKA twigs,CAPRISONGS
FU-Schnickens,Nervous Breakdown
Geto Boys,The Geto Boys
Grace Cummings,Storm Queen
Gregory Isaacs,Jamaica 40 Graus
Grégory Privat,Yonn
Hikaru Utada,BAD MODE
Imarhan,Abogi
Immanuel Wilkins,The 7th Hand
Immortal Technique,"Revolutionary, Vol.1"
Jadakiss,Kiss of Death
Jadsa,Olho de Vidro
Jana Horn,Optimism
JAY-Z,The Black Album
JAY-Z,The Blueprint
Jazzy Bazz,Memoria
Jedi Mind Tricks,Violent By Design
Jennifer Souza,Pacífica Pedra Branca
Johnny Nash,Jamaica 40 Graus
Joni Mitchell,Blue
Juvenile,Greatest Hits
Kanye West,Donda
Ken Boothe,Jamaica 40 Graus
Kool G Rap,"4,5,6"
Kool G Rap & DJ Polo,Road To The Riches
Little Brother,The Ministrel Show
LL Cool J,Radio
Lost Girls,Menneskekollektivet
Lou Bond,Lou Bond
L'Rain,Fatigue
Manchester Orchestra,A Black Mile To The Surface
Max Romeo,Jamaica 40 Graus
Maya Shenfeld,"Body, Electric"
MC Paulin da Capital,Os Mandrake Curte a Vida
N.W.A,Straight Outta Compton
Nas,The Lost Tapes
Nico,Chelsea Girl
Niney,Jamaica 40 Graus
OG Keemo,Mann Beisst Hund
Parteum,A Autoridade Da Razão
Píncaro,Um Delírio Madrepérola
Psilosamples,Jornada Selvagem
Radiohead,Radiohead: The Best Of
Rakim,The 18th Letter
RBL Posse,Ruthless By Law
Real Live,The Turnaround: A Long Awaited Drama
Red Vox,Visions
Robert Plant,Raise The Roof
Sabotage,Rap é Compromisso
Shyheim,Manchild
Sophia Chablau e Uma Enorme Perda de Tempo,Sophia Chablau e Uma Enorme Perda de Tempo
Souls of Mischief,93 'til Infinity
Tappa Zukie,Jamaica 40 Graus
Tassia Reis,Próspera
The Abyssinians,Jamaica 40 Graus
The B.U.M.S.,Lyfe 'N' Tyme
The Congos,Jamaica 40 Graus
The Coup,Genocide & Juice
The D.O.C.,No One Can Do It Better
The Impressions,The Young Mods' Forgotten Story
The Impressions,This Is My Country
The Melodians,Jamaica 40 Graus
The Mighty Diamonds,Jamaica 40 Graus
